E02;Musique
E01051106;Première et Seconde Guerres Mondiales
E01051107;Histoire de France
E01051108;Histoire de l'Europe
E01051109;Histoire de l'Amérique du Nord
E01051110;Histoire de l'Amérique Latine & des Antilles
E01051111;Histoire de l'Afrique
E01051112;Histoire du Proche Orient & Moyen Orient
E01051113;Histoire de l'Asie & du Pacifique
E01051114;Mythologie
E01051115;Autres histoire
E010512;Religion et spiritualités
E01051201;Généralités Religions
E01051202;Bibles, Corans et autres ouvrages sacrés
E01051203;Christianisme
E01051204;Islam
E01051205;Judaïsme
E01051206;Protestantisme
E01051207;Orthodoxie
E01051208;Bouddhisme
E01051209;Hindouisme
E01051210;Spiritualités d'Extrême Orient
E01051211;La religions expliquée aux enfants
E01051212;Autres Religion et spiritualités
E010513;Sciences Humaines
E01051301;Psychologie - Psychanalyse
E0105130105;Autres Psychologie - Psychanalyse
E0105130104;Psychologie générale et cognitive
E0105130103;Psychologie sociale et clinique
E0105130102;Psychologie de l'enfant et de l'adolescent
E0105130101;Généralités Psychologie et Psychanalyse
E01051302;Philosophie
E0105130206;Autres philosophie
E0105130205;Dictionnaires et ouvrages de référence
E0105130204;Histoire de la Philosophie
E0105130203;Études d'œuvres
E0105130202;Œuvres philosophiques
E0105130201;Généralités Philosophie
E01051303;Politique et administration publique
E01051304;Géographie
E01051305;Ecologie et Environnement
E01051306;Sociologie, , anthropologie
E01051307;Ethnologie
E01051308;Autres Sciences humaines
E0106;Savoirs
E010601;Dictionnaires & Langues
E01060101;Français
E01060102;Anglais
E01060103;Espagnol
E01060104;Allemand
E01060105;Italien
E01060106;Chinois et Japonais
E01060107;Portugais et Brésilien
E01060108;Arabe
E01060109;Russe
E01060110;Autres Langues
E01060111;Langues mortes
E01060112;Autres dictionnaires
E01060113;Dictionnaires Juniors
E010602;Méthodes de langues
E01060201;Français
E01060202;Anglais
E01060203;Espagnol
E01060204;Allemand
E01060205;Italien
E01060206;Chinois et Japonais
E01060207;Portugais et Brésilien
E01060208;Arabe
E01060209;Russe
E01060210;Autres Langues
E01060211;Langues mortes
E010603;Droit
E01060301;Généralités Droit
E01060302;Droit constitutionnel et administratif
E01060303;Droit civil
E01060304;Droit de l'environnement
E01060305;Droit de l'urbanisme
E01060306;Droit des affaires
E01060307;Droit fiscal
E01060308;Droit du travail et droit social
E01060309;Droit européen
E01060310;Droit international
E01060311;Droit pénal
E01060312;Droits de l'homme
E01060313;Droits des étrangers
E01060314;Finances publiques
E01060315;Personnels de la justice
E01060316;Histoire, théorie et enseignement du droit
E01060317;Autres droit
E010604;Economie & Entreprise
E01060401;Economie
E0106040112;Autres Economie
E0106040111;Théories économiques
E0106040110;Micro-économie
E0106040109;Macro-économie
E0106040108;Finance internationale
E0106040107;Politique économique
E0106040106;Économie internationale
E0106040105;Économie - Principes mathématiques
